   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.810169        3.79019        -45.748        51.2412        12.7434        28.8543       -2362.75     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1000_163_0_230.e9_6.2e9_9.562e+24_20.dat
         1        0.60664         3.5571       -18.3081        44.6785        57.7159        50.9401        -3914.9     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1010_163_0_230.e9_6.2e9_9.562e+24_20.dat
         2       0.717881        3.36793       -2.19507        23.5931        95.8905        63.0854        -4775.1     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1020_163_0_230.e9_6.2e9_9.562e+24_20.dat
         3       0.724651        3.94056       -85.7169        78.8426        14.5713        41.6107       -3304.31     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1030_163_0_230.e9_6.2e9_9.562e+24_20.dat
         4       0.550493        3.63965       -5.61914        38.3159        61.1002        50.1048       -3830.51     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1040_163_0_230.e9_6.2e9_9.562e+24_20.dat
         5       0.649922        3.59681       -15.6004        31.0863         32.925         31.442       -2548.42     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1050_163_0_230.e9_6.2e9_9.562e+24_20.dat
         6       0.585243        3.94759        -7.2019        17.6421        56.1768        38.5838       -3031.25     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1060_163_0_230.e9_6.2e9_9.562e+24_20.dat
         7       0.561635        3.56705       -29.5927        59.8163        79.3075         69.326       -5211.71     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1070_163_0_230.e9_6.2e9_9.562e+24_20.dat
         8       0.505509        3.92161       -3.09112        37.3925        40.5638        38.3512       -3020.78     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1080_163_0_230.e9_6.2e9_9.562e+24_20.dat
         9       0.547197        4.01954       -98.7948         18.447         59.493        40.7608       -3163.72     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1090_163_0_230.e9_6.2e9_9.562e+24_20.dat
        10       0.542881        3.99978       -86.3071        32.7119        36.7654        34.2583       -2712.56     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1100_163_0_230.e9_6.2e9_9.562e+24_20.dat
        11       0.528846        4.08552       -55.3769          6.036        9.98885        8.09426       -859.421     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1110_163_0_230.e9_6.2e9_9.562e+24_20.dat
        12       0.518419        3.95605       -64.5635        13.5241        16.0711        14.6453       -1324.62     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1120_163_0_230.e9_6.2e9_9.562e+24_20.dat
        13       0.541257        3.60531       -41.9668        15.9237        13.1125        14.0297       -1275.67     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1130_163_0_230.e9_6.2e9_9.562e+24_20.dat
        14       0.518636        3.96192       -48.3102        8.03659        28.4591        19.1632       -1648.07     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1140_163_0_230.e9_6.2e9_9.562e+24_20.dat
        15       0.577827        3.82799       -73.1232        20.8865        27.1531        23.9087       -1983.03     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1150_163_0_230.e9_6.2e9_9.562e+24_20.dat
        16        0.56305        3.52133      -0.640788        38.9832        36.1231        36.5716       -2889.51     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1160_163_0_230.e9_6.2e9_9.562e+24_20.dat
        17       0.531026        3.48792       -3.56064        21.0549        36.4487        29.1227       -2360.84     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1170_163_0_230.e9_6.2e9_9.562e+24_20.dat
        18       0.572574        3.63874       -39.1175        16.2693         33.646        25.5358       -2113.71     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1180_163_0_230.e9_6.2e9_9.562e+24_20.dat
        19       0.573086        4.02316       -72.7398        23.2061        7.78252        14.1801       -1292.28     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1190_163_0_230.e9_6.2e9_9.562e+24_20.dat
        20       0.633161        4.02428       -60.2195        7.64666        38.6742        24.6482       -2027.75     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1200_163_0_230.e9_6.2e9_9.562e+24_20.dat
        21       0.654402        3.78283        15.0021        27.1095        32.5619        29.5489       -2400.13     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1210_163_0_230.e9_6.2e9_9.562e+24_20.dat
        22       0.604363        3.52298        16.4473        38.2486        32.8893        34.4701       -2734.11     /gpfs/hpu/EHT/MAD/384x192x192_IHARM/a+0.94/m_1_1_20/image_a+0.94_1220_163_0_230.e9_6.2e9_9.562e+24_20.dat
